question,answer,ground_truth_category
What are the steps to configure redundancy group settings for a redundancy application group in Cisco IOS?,"To configure redundancy group settings, control interface, and data interface for a redundancy application group in Cisco IOS, follow these steps:

```
Device(config)# redundancy
Device(config-red-app-grp)# priority 205 failover-threshold 200
Device(config-red-app-grp)# control gigabitethernet 0/0/1 protocol 2
Device(config-red-app-grp)# data gigabitethernet 0/2/2
```

Note: Replace `gigabitethernet` with the actual interface type and number used in your network.",QoS
How can we configure NAT to support communication between an IP phone and Cisco CallManager in a scalable environment?,"To meet this requirement, we need to configure NAT to translate the original source IP address of the IP phone to a new one from a configured pool. This will make the new address visible to other IP phone users.

Here's how we can do it:

1. Configure DNS or static NAT for resolving the Cisco CallManager IP address when it's on the inside (behind the NAT device):
```
ip nat inside source static 10.10.10.100 cisco-calls-manager
```

2. Configure NAT rules to match incoming connections from IP phones attempting to connect to Cisco CallManager:
```
access-list 101 permit tcp any any eq 2000
ip nat inside source route map SCCP-OUT interface fastethernet 1/0 overload
```

3. Configure NAT to translate the original source IP address and replace it with one from a configured pool for the communication between IP phone and Cisco CallManager:
```
access-list 101 permit tcp any any eq 2000
ip nat inside source static 10.20.20.100 192.168.1.100
```

In this configuration, we're using route maps to control the translation of the original source IP address (10.20.20.100) to a new one from the configured pool (192.168.1.100). This ensures that all incoming connections from IP phones attempting to connect to Cisco CallManager are translated accordingly.

By configuring NAT in this way, we can support communication between an IP phone and Cisco CallManager in a scalable environment.",ACL
What is an effective way to reduce the load on the control plane in a network?,"To control traffic in the forwarding plane directly and reduce the load on the control plane, you can extend the CoPP (Control Plane Policing) function to packets like IP Internet Control Message Protocol (ICMP) echo-request packets. This can be achieved by using the following Cisco IOS code:

```
policy-map cpo
  class icmp-echo
  police rate-limit 10 pps exceed-action drop

interface <interface_name>
  service-policy input cpo
```

In this configuration, we're creating a policy map named ""cpo"" that applies policing to ICMP echo-request packets. The `police` command sets a rate limit of 10 packets per second (pps) for these packets, and the `exceed-action drop` command specifies what action to take when the rate limit is exceeded - in this case, dropping the packet.

By extending CoPP to include ICMP echo-request packets, we're controlling traffic directly in the forwarding plane, reducing the load on the control plane.",QoS
How do you configure the MA name and number for Ethernet CFM on a Cisco ASR 1000 router?,"To configure the MA (Maintenance Association) name and number for Ethernet CFM on a Cisco ASR 1000 router, use the following command in the ecfm configuration mode:
```
Device(config-ecfm-srv)# service ma-name <ma-name> ma-num <ma-num>
```
For example:
```
Device(config-ecfm-srv)# service ma-name MA-1 ma-num 123
```
This sets the MA name to ""MA-1"" and the MA number to ""123"".",MNG
How can you configure an ICMP Path Jitter operation to measure the jitter on a network path between two devices?,"To configure an ICMP Path Jitter operation, start by entering the following commands:
```
Device# configure terminal
Device(config)# ip sla 15011
Device(config-sla-monitor)# path-jitter 10.222.1.100 source-ip 10.222.3.100 num-packets 20
Device(config-sla-monitor-pathJitter)# frequency 30
Device(config-sla-monitor-pathJitter)# exit
```
Then, schedule the operation to start immediately and run indefinitely:
```
Device(config)# ip sla schedule 15011 life forever start-time now
Device(config)# exit
```
This configuration will measure the jitter on a network path between devices with IP addresses `10.222.1.100` and `10.222.3.100`, sending 20 packets every 30 seconds.",MNG
How do you specify a subset of RADIUS or TACACS+ servers for login authentication method in Cisco IOS?,"You can use the `aaa group server` command to define and specify members of the group, such as:

```
Router(config)# aaa group server radius loginrad
 Router(config-radius)# server 172.16.2.3
 Router(config-radius)# server 172.16.2.17
 Router(config-radius)# server 172.16.2.32

Router(config)# aaa authentication login default group loginrad
```

In this example, the `aaa group server` command defines a group called ""loginrad"" with three RADIUS servers: 172.16.2.3, 172.16.2.17, and 172.16.2.32. The `aaa authentication login default group loginrad` command sets this group as the default method of user authentication at login when no other method list has been defined.",PKI
How do you configure traffic classes in Cisco IOS?,"To configure traffic classes in Cisco IOS, you must use the class-map command. For example:

Router(config)# class-map match-any my-class
Router(config-cmap)# description This is a traffic class for my network
Router(config-cmap)# match ip dscp 10

In this example, we are creating a new class map named ""my-class"" that matches IP DSCP values of 10. You can add more match statements as needed to define your traffic class.",QoS
 How can you configure an interface with VRF and MPLS support for BGP session between ASBR peers?,"```
Router(config)# interface type 0
Router(config-if)# ip vrf forwarding MY_VRF_NAME
Router(config-if)# mpls bgp forwarding
Router(config-if)# end
```
In this example, replace ""type"" with the desired interface type (e.g. `loopback`, `gigabitethernet`, etc.), and ""MY_VRF_NAME"" with a name of your choice for the VRF.",RP
How do you configure static SSM (Source Specific Multicast) mappings on a device to define which groups are mapped?,"To configure static SSM mappings on a device, you can use the ""ip igmp ssm-map static"" command and an access-list to define the groups to be mapped. For example:
```
Device(config)# ip igmp ssm-map static 11 172.16.8.11
```
This command maps the SSM range of 224.1.1.1 to 230.1.1.1 (the ""11"" in this case) to the IP address 172.16.8.11.

To define which groups are mapped, you would need to configure an access-list that specifies the groups to be mapped. For example:
```
Device(config)# access-list ssm-mapping permit 224.1.1.1 230.1.1.1
```
This access-list specifies the SSM range of 224.1.1.1 to 230.1.1.1.

You can add additional SSM mappings as needed by repeating the ""ip igmp ssm-map static"" command and specifying a new IP address.
```
Device(config)# ip igmp ssm-map static 12 172.16.8.12
```
Note that you would need to update the access-list accordingly if you add additional SSM mappings.",ACL
How do you set the Layer 2 class of service (CoS) value for outgoing packets?,"To set the Layer 2 class of service (CoS) value for outgoing packets, use the `set cos` command in policy-map class configuration mode. The syntax is as follows:

```
Router(config-pmap)# policy-map <policy_map_name>
Router(config-pmap-c)# class <class_name>
Router(config-pmap-c)# set cos <cos_value>
```

For example:
```
Router(config-pmap)# policy-map my_policy
Router(config-pmap-c)# class my_class
Router(config-pmap-c)# set cos 5
```

You can also use the `no` keyword to disable this setting. The default behavior is either IP Precedence or MPLS EXP bits copied from the encapsulated datagram.

Note: You can configure the `set cos` command in policy-map class configuration mode using the `[no] set cos cos-value` command, as shown below:

```
Router(config-pmap-c)# [no] set cos <cos_value>
```",QoS
"What is the IP NAT configuration for the ""shop"" VRF to translate static source address 192.168.11.1?","- ip nat inside source static 192.168.11.1 2.2.2.11 vrf shop

This configuration translates any incoming traffic from 192.168.11.1 to 2.2.2.11 within the ""shop"" VRF.",INF
How do you configure the conditional object identifier with wildcard in Cisco IOS?,"```
 Router(config)#  conditional-object-id  [wildcard]

For example:
Router(config)#  conditional-object-id *.*.com
```
In this command, `conditional-object-id` is the command to configure the conditional object identifier, and `[wildcard]` represents the wildcard characters that can be used to match IP addresses or other network objects. In this specific example, the wildcard `*.*.com` matches all domain names ending with `.com`.",INF
